MBID,PCIE3X16,PCIE3X8,PCIE3X4,PCIE3X2,PCIE3X1,PCIE2,PCI
1,1,,,,,2,
2,1,,,,,2,
3,1,,,,,2,
4,1,,,,,,
5,1,,,,2,,
6,1,,,,2,,
7,2,,1,,4,,
8,1,,1,,4,,
9,3,,1,,2,,
10,2,,1,,3,,
11,2,,1,,3,,
12,1,,1,,4,,
13,1,,,,,,
14,1,,1,,4,,
15,1,,1,,2,,
16,1,,1,,4,,
17,1,,,,,,
18,2,,1,,4,,
19,2,,1,,4,,
20,2,,,,2,,
21,2,,,2,3,,
22,1,,,,,,
23,1,,1,,4,,
24,1,,,,,2,3
25,1,,,,,2,
26,1,,1,,4,,
27,1,,,1,4,,
28,1,,,,2,,
29,1,,,,2,,
30,1,,1,,4,,
31,2,,,1,3,,
32,1,,,,2,,3
33,1,,,,,2,
34,1,,,,,2,
35,1,,,,,2,
36,1,,,,,2,
37,1,,,,,1,2
38,1,,1,,3,,
39,1,,1,,3,,
40,1,,,,,,
41,1,,1,,1,,
42,1,,1,,4,,
43,1,,1,,1,,1
44,1,,,,2,,1
45,1,,1,,1,,
46,1,,,,1,,
47,1,,,,,,
48,1,,1,,4,,1
49,1,,1,,1,,
50,1,,,,,,
51,1,,1,,4,,
52,1,1,1,,3,,
53,1,1,1,,3,,
54,1,1,1,,3,,
55,1,,1,,4,,
56,1,,1,,4,,
57,1,1,1,,3,,
58,1,,1,,4,,1
59,1,,2,,3,,
60,1,,2,,3,,
61,1,,,,2,,
62,1,,1,,2,,
63,1,,,,,,
64,1,1,2,,1,,
65,1,1,1,,3,,
66,1,1,1,,3,,
67,1,1,1,,3,,
68,1,,1,,4,,
69,1,1,,,2,,
70,1,,,,,,
71,1,,1,,3,,
72,1,,1,,4,,
73,1,,1,,3,,
74,1,,1,,4,,
75,1,,1,,4,,
76,1,,,,2,,
77,1,,,,,,
78,1,,,,2,,
79,1,,,,2,,
80,1,,1,,4,,
81,1,,1,,2,,
82,1,,,,2,,
83,1,,1,,2,,
84,1,,1,,2,,
85,1,,,,2,,
86,1,1,1,,3,,
87,1,,1,,3,,1
88,1,,1,,4,,
89,1,,1,,4,,
90,1,,,,,17,
91,1,,,,2,,
92,1,,,,2,,
93,1,,,,2,,
94,1,,,,6,,
95,1,,,,,12,
96,1,,,,2,,
97,1,,,,,2,
98,1,,,,,1,2
99,1,,,,,2,
100,1,,,,,2,
101,1,,,,,2,
102,1,,,,,2,
103,1,,,,,,
