MBID,Slots,Maxfreq
1,2,2666
2,2,2666
3,2,2666
4,2,2666
5,4,2666
6,2,2666
7,4,4000
8,4,4000
9,2,4000
10,4,4133
11,4,4133
12,4,2666
13,2,2666
14,4,2666
15,4,2666
16,4,2666
17,2,2666
18,4,4000
19,4,4000
20,4,4000
21,4,4000
22,2,4333
23,4,2666
24,2,2666
25,2,2666
26,4,2666
27,4,2666
28,4,2666
29,2,2666
30,4,4000
31,4,4000
32,2,2666
33,2,2666
34,2,2666
35,2,2666
36,2,2666
37,2,2666
38,4,2666
39,4,2666
40,2,2666
41,4,2666
42,4,2666
43,4,2666
44,2,2666
45,4,2666
46,2,2666
47,2,2666
48,4,2666
49,4,2666
50,2,2666
51,4,2666
52,4,4133
53,4,4133
54,4,4133
55,4,4000
56,4,4000
57,4,4000
58,4,4000
59,4,4000
60,4,4000
61,4,3866
62,4,4000
63,2,4400
64,4,4133
65,4,4000
66,4,4000
67,4,4000
68,4,4000
69,4,4000
70,2,4500
71,4,2666
72,4,2666
73,4,2666
74,4,2666
75,4,2666
76,2,2666
77,4,2666
78,2,2666
79,2,2666
80,4,4000
81,4,4000
82,4,2666
83,4,2666
84,4,2666
85,4,2666
86,4,4000
87,4,4000
88,4,4000
89,4,2666
90,2,2666
91,4,2666
92,2,2666
93,2,2666
94,2,2666
95,2,2666
96,2,2666
97,2,2666
98,2,2666
99,2,2666
100,2,2666
101,2,2666
102,2,2666
103,2,2666
