Pslots,PCIE3X16,PCIE3X8,PCIE3X4,PCIE3X2,PCIE3X1,PCIE2,PCI,MBID
3,1,,,,,2,,1
3,1,,,,,2,,2
3,1,,,,,2,,3
1,1,,,,,,,4
3,1,,,,2,,,5
3,1,,,,2,,,6
7,2,,1,,4,,,7
6,1,,1,,4,,,8
6,3,,1,,2,,,9
6,2,,1,,3,,,10
6,2,,1,,3,,,11
6,1,,1,,4,,,12
1,1,,,,,,,13
6,1,,1,,4,,,14
4,1,,1,,2,,,15
6,1,,1,,4,,,16
1,1,,,,,,,17
7,2,,1,,4,,,18
7,2,,1,,4,,,19
4,2,,,,2,,,20
7,2,,,2,3,,,21
1,1,,,,,,,22
6,1,,1,,4,,,23
6,1,,,,,2,3,24
3,1,,,,,2,,25
6,1,,1,,4,,,26
6,1,,,1,4,,,27
3,1,,,,2,,,28
3,1,,,,2,,,29
6,1,,1,,4,,,30
6,2,,,1,3,,,31
6,1,,,,2,,3,32
3,1,,,,,2,,33
3,1,,,,,2,,34
3,1,,,,,2,,35
3,1,,,,,2,,36
4,1,,,,,1,2,37
5,1,,1,,3,,,38
5,1,,1,,3,,,39
1,1,,,,,,,40
3,1,,1,,1,,,41
6,1,,1,,4,,,42
4,1,,1,,1,,1,43
4,1,,,,2,,1,44
3,1,,1,,1,,,45
2,1,,,,1,,,46
1,1,,,,,,,47
7,1,,1,,4,,1,48
3,1,,1,,1,,,49
1,1,,,,,,,50
6,1,,1,,4,,,51
6,1,1,1,,3,,,52
6,1,1,1,,3,,,53
6,1,1,1,,3,,,54
6,1,,1,,4,,,55
6,1,,1,,4,,,56
6,1,1,1,,3,,,57
7,1,,1,,4,,1,58
6,1,,2,,3,,,59
6,1,,2,,3,,,60
3,1,,,,2,,,61
4,1,,1,,2,,,62
1,1,,,,,,,63
5,1,1,2,,1,,,64
6,1,1,1,,3,,,65
6,1,1,1,,3,,,66
6,1,1,1,,3,,,67
6,1,,1,,4,,,68
4,1,1,,,2,,,69
1,1,,,,,,,70
5,1,,1,,3,,,71
6,1,,1,,4,,,72
5,1,,1,,3,,,73
6,1,,1,,4,,,74
6,1,,1,,4,,,75
3,1,,,,2,,,76
1,1,,,,,,,77
3,1,,,,2,,,78
3,1,,,,2,,,79
6,1,,1,,4,,,80
4,1,,1,,2,,,81
3,1,,,,2,,,82
4,1,,1,,2,,,83
4,1,,1,,2,,,84
3,1,,,,2,,,85
6,1,1,1,,3,,,86
6,1,,1,,3,,1,87
6,1,,1,,4,,,88
6,1,,1,,4,,,89
18,1,,,,,17,,90
3,1,,,,2,,,91
3,1,,,,2,,,92
3,1,,,,2,,,93
7,1,,,,6,,,94
13,1,,,,,12,,95
3,1,,,,2,,,96
3,1,,,,,2,,97
4,1,,,,,1,2,98
3,1,,,,,2,,99
3,1,,,,,2,,100
3,1,,,,,2,,101
3,1,,,,,2,,102
1,1,,,,,,,103
