Uports_B,Uports_O,Uports,USB2,USB31G1,USB31G2,TypeC_G1,TypeC_G2,USB_MB2,USB_MB3g1,USB_MB3g2,TypeC_MBG1,TypeC_MBG2,MBID
4,3,7,2,2,,,,2,1,,,,1
4,3,7,2,2,,,,2,1,,,,2
4,3,7,2,2,,,,2,1,,,,3
4,2,6,2,2,,,,1,1,,,,4
5,3,8,2,1,2,,,2,1,,,,5
6,3,9,2,2,2,,,2,1,,,,6
7,4,11,2,2,2,,1,2,2,,,,7
6,4,10,2,4,,,,2,2,,,,8
9,4,13,,6,2,,1,3,1,,,,9
11,3,14,4,4,2,,1,1,1,1,,,10
9,4,13,2,4,2,,1,2,1,1,,,11
8,3,11,4,0,3,,1,1,2,,,,12
7,2,9,,4,2,,1,1,1,,,,13
12,2,14,4,4,3,,1,1,1,,,,14
6,3,9,,2,4,,,2,1,,,,15
6,3,9,2,2,2,,,2,1,,,,16
7,2,9,2,2,2,1,,1,1,,,,17
6,5,11,2,1,2,,1,2,2,1,,,18
7,4,11,2,2,2,,1,2,2,,,,19
8,3,11,2,4,2,,,2,1,,,,20
8,4,12,2,4,2,,,2,2,,,,21
8,3,11,4,4,,,,1,1,1,,,22
8,3,11,2,3,2,1,,2,1,,,,23
4,5,9,2,2,,,,4,1,,,,24
6,4,10,4,2,,,,2,2,,,,25
8,3,11,2,3,2,1,,2,1,,,,26
8,2,10,4,2,2,,,1,1,,,,27
6,3,9,2,1,2,1,,2,1,,,,28
6,3,9,2,2,2,,,2,1,,,,29
8,4,12,2,3,2,1,,2,2,,,,30
8,4,12,2,4,2,,,2,2,,,,31
6,2,8,4,2,,,,1,1,,,,32
6,2,8,4,2,,,,1,1,,,,33
6,2,8,4,2,,,,1,1,,,,34
6,2,8,4,2,,,,1,1,,,,35
6,2,8,4,2,,,,1,1,,,,36
6,2,8,4,2,,,,1,1,,,,37
9,2,11,4,3,1,1,,1,1,,,,38
9,2,11,4,3,1,1,,1,1,,,,39
7,2,9,2,3,1,1,,1,1,,,,40
6,3,9,2,3,1,,,2,1,,,,41
6,3,9,2,3,1,,,2,1,,,,42
7,3,10,2,3,1,1,,2,1,,,,43
6,3,9,2,4,,,,2,1,,,,44
6,3,9,2,4,,,,2,1,,,,45
6,3,9,2,4,,,,2,1,,,,46
6,2,8,2,4,,,,1,1,,,,47
9,3,12,2,5,1,1,,2,1,,,,48
9,3,12,2,4,2,,1,2,1,,,,49
6,2,8,,5,,1,,1,1,,,,50
8,5,13,4,2,1,,1,2,2,,1,,51
8,4,12,,5,2,,1,2,1,,,1,52
8,5,13,,5,2,,1,2,1,1,,1,53
9,4,13,2,4,2,,1,2,1,,1,,54
9,4,13,2,4,2,,1,2,1,,1,,55
9,4,13,2,4,2,,1,2,2,,,,56
9,4,13,,6,2,,1,2,2,,,,57
9,5,14,2,4,2,,1,2,2,,1,,58
6,4,10,2,4,,,,2,2,,,,59
6,3,9,2,4,,,,2,1,,,,60
6,3,9,2,4,,,,2,1,,,,61
8,3,11,,7,,1,,2,1,,,,62
8,2,10,,7,,,1,1,1,,,,63
9,6,15,,6,2,,1,3,2,1,,,64
8,3,11,3,2,2,,1,2,1,,,,65
9,4,13,2,4,2,,1,2,2,,,,66
9,4,13,2,4,2,,1,2,2,,,,67
6,4,10,2,4,,,,2,2,,,,68
7,5,12,,4,2,,1,2,2,,,1,69
7,2,9,2,2,2,,1,1,1,,,,70
9,6,15,2,4,2,,1,2,2,1,,1,71
7,4,11,2,2,2,,1,2,2,,,,72
7,5,12,2,2,2,,1,2,1,1,,1,73
7,3,10,2,2,2,,1,2,1,,,,74
7,3,10,2,2,2,,1,2,1,,,,75
7,3,10,2,4,,1,,2,1,,,,76
6,2,8,2,2,2,,,1,1,,,,77
6,2,8,4,2,,,,1,1,,,,78
6,2,8,4,2,,,,1,1,,,,79
9,3,12,2,4,2,,1,2,1,,,,80
6,4,10,2,4,,,,2,2,,,,81
7,3,10,2,4,,1,,2,1,,,,82
7,4,11,4,,2,,1,1,1,1,,1,83
7,4,11,4,,2,,1,1,1,1,,1,84
7,3,10,2,4,,1,,2,1,,,,85
9,4,13,2,4,2,,1,2,2,,,,86
9,5,14,2,4,2,,1,4,1,,,,87
6,4,10,2,4,,,,2,2,,,,88
7,3,10,2,2,2,,1,2,1,,,,89
6,2,8,4,2,,,,1,1,,,,90
7,3,10,2,4,,1,,2,1,,,,91
6,3,9,2,4,,,,2,1,,,,92
6,3,9,2,4,,,,2,1,,,,93
6,2,8,4,2,,,,1,1,,,,94
6,2,8,4,2,,,,1,1,,,,95
6,2,8,4,2,,,,1,1,,,,96
6,2,8,4,2,,,,1,1,,,,97
6,2,8,4,2,,,,1,1,,,,98
6,2,8,4,2,,,,1,1,,,,99
6,2,8,4,2,,,,1,1,,,,100
6,2,8,4,2,,,,1,1,,,,101
6,2,8,4,2,,,,1,1,,,,102
5,2,7,3,2,,,,1,1,,,,103
