Function,WiFi,M2_Ekey,Bluetooth,MBID
,,,,1
,,,,2
,,,,3
1,,1,,4
,,,,5
,,,,6
,,,,7
,,,,8
,,,,9
2,Intel 802.11a/b/g/n/ac,,4.2,10
,,,,11
,,,,12
2,Intel 802.11a/b/g/n/ac,,5,13
,,,,14
,,,,15
,,,,16
2,Intel 802.11a/b/g/n/ac,,5,17
2,Intel 802.11a/b/g/n/ac,,4.2,18
,,,,19
2,Intel 802.11a/b/g/n/ac,,4.2,20
,,,,21
2,Intel 802.11a/b/g/n/ac,,4.2,22
2,Intel 802.11a/b/g/n/ac,,5,23
,,,,24
,,,,25
2,Intel 802.11a/b/g/n/ac,,5,26
,,,,27
,,,,28
,,,,29
,,,,30
,,,,31
1,,1,,32
,,,,33
,,,,34
,,,,35
,,,,36
,,,,37
3,Intel 802.11a/b/g/n/ac,1,5,38
1,,1,,39
2,Intel 802.11a/b/g/n/ac,,5,40
1,,1,,41
1,,1,,42
,,,,43
,,,,44
,,,,45
,,,,46
2,Intel 802.11a/b/g/n/ac,,5,47
1,,1,,48
1,,1,,49
2,Intel 802.11a/b/g/n/ac,,5,50
3,Intel 802.11a/b/g/n/ac,1,5,51
,,,,52
,,,,53
2,Intel 802.11a/b/g/n/ac,,4.2,54
,,,,55
,,,,56
,,,,57
,,,,58
,,,,59
,,,,60
,,,,61
,,,,62
2,Intel 802.11a/b/g/n/ac,,4.2,63
3,Killer 1535,1,4.1,64
,,,,65
2, Intel Wireless-AC 8265  ,,4.2,66
,,,,67
,,,,68
2, Intel Wireless-AC 8265  ,,4.2,69
2, Intel Wireless-AC 8265  ,,4.2,70
,,,,71
,,,,72
,,,,73
,,,,74
,,,,75
,,,,76
2,Intel Wireless-AC 9462,,5,77
,,,,78
,,,,79
,,,,80
,,,,81
,,,,82
,,,,83
,,,,84
,,,,85
,,,,86
,,,,87
,,,,88
,,,,89
,,,,90
,,,,91
,,,,92
,,,,93
,,,,94
,,,,95
,,,,96
,,,,97
,,,,98
,,,,99
,,,,100
,,,,101
,,,,102
1,,1,,103
